✅ Loaded 8091 valid samples
Epoch 2 | Batch 1990 | Loss: 0.5834
Epoch 2 | Batch 2000 | Loss: 0.4741
Epoch 2 | Batch 2010 | Loss: 0.3707
Epoch 2 | Batch 2020 | Loss: 0.5151
✅ Epoch 2 Completed | Total Loss: 922.3668
Epoch 3 | Batch 0 | Loss: 0.2839
Epoch 3 | Batch 10 | Loss: 0.3834
Epoch 3 | Batch 20 | Loss: 0.3404
Epoch 3 | Batch 30 | Loss: 0.2665
Epoch 3 | Batch 40 | Loss: 0.3769
Epoch 3 | Batch 50 | Loss: 0.2685
Epoch 3 | Batch 60 | Loss: 0.3076
Epoch 3 | Batch 70 | Loss: 0.2375
Epoch 3 | Batch 80 | Loss: 0.3675
Epoch 3 | Batch 90 | Loss: 0.4290
Epoch 3 | Batch 100 | Loss: 0.3010
Epoch 3 | Batch 110 | Loss: 0.3391
Epoch 3 | Batch 120 | Loss: 0.2030
Epoch 3 | Batch 130 | Loss: 0.2879
Epoch 3 | Batch 140 | Loss: 0.3004
Epoch 3 | Batch 150 | Loss: 0.3745
Epoch 3 | Batch 160 | Loss: 0.3368
Epoch 3 | Batch 170 | Loss: 0.2486
Epoch 3 | Batch 180 | Loss: 0.3132
Epoch 3 | Batch 190 | Loss: 0.4056
Epoch 3 | Batch 200 | Loss: 0.2216
Epoch 3 | Batch 210 | Loss: 0.5539
Epoch 3 | Batch 220 | Loss: 0.4413
Epoch 3 | Batch 230 | Loss: 0.2782
Epoch 3 | Batch 240 | Loss: 0.1618
Epoch 3 | Batch 250 | Loss: 0.4054
Epoch 3 | Batch 260 | Loss: 0.2804
Epoch 3 | Batch 270 | Loss: 0.4109
Epoch 3 | Batch 280 | Loss: 0.3116
Epoch 3 | Batch 290 | Loss: 0.2775
Epoch 3 | Batch 300 | Loss: 0.4702
Epoch 3 | Batch 310 | Loss: 0.2813
Epoch 3 | Batch 320 | Loss: 0.2869
Epoch 3 | Batch 330 | Loss: 0.3588
Epoch 3 | Batch 340 | Loss: 0.3554
Epoch 3 | Batch 350 | Loss: 0.4272
Epoch 3 | Batch 360 | Loss: 0.2756
Epoch 3 | Batch 370 | Loss: 0.2536
Epoch 3 | Batch 380 | Loss: 0.2208
Epoch 3 | Batch 390 | Loss: 0.2256
Epoch 3 | Batch 400 | Loss: 0.3180
Epoch 3 | Batch 410 | Loss: 0.3957
Epoch 3 | Batch 420 | Loss: 0.2797
Epoch 3 | Batch 430 | Loss: 0.4159
Epoch 3 | Batch 440 | Loss: 0.4639
Epoch 3 | Batch 450 | Loss: 0.2858
Epoch 3 | Batch 460 | Loss: 0.3167
Epoch 3 | Batch 470 | Loss: 0.3713
Epoch 3 | Batch 480 | Loss: 0.2053
Epoch 3 | Batch 490 | Loss: 0.3211
Epoch 3 | Batch 500 | Loss: 0.4171
Epoch 3 | Batch 510 | Loss: 0.2015
Epoch 3 | Batch 520 | Loss: 0.3645
Epoch 3 | Batch 530 | Loss: 0.4113
Epoch 3 | Batch 540 | Loss: 0.5495
Epoch 3 | Batch 550 | Loss: 0.2352
Epoch 3 | Batch 560 | Loss: 0.3487
Epoch 3 | Batch 570 | Loss: 0.3824
Epoch 3 | Batch 580 | Loss: 0.2630
Epoch 3 | Batch 590 | Loss: 0.2712
Epoch 3 | Batch 600 | Loss: 0.2341
Epoch 3 | Batch 610 | Loss: 0.4575
Epoch 3 | Batch 620 | Loss: 0.2857
Epoch 3 | Batch 630 | Loss: 0.2707
Epoch 3 | Batch 640 | Loss: 0.2255
Epoch 3 | Batch 650 | Loss: 0.0958
Epoch 3 | Batch 660 | Loss: 0.3317
Epoch 3 | Batch 670 | Loss: 0.2897
Epoch 3 | Batch 680 | Loss: 0.4559
Epoch 3 | Batch 690 | Loss: 0.3830
Epoch 3 | Batch 700 | Loss: 0.2914
Epoch 3 | Batch 710 | Loss: 0.2007
Epoch 3 | Batch 720 | Loss: 0.3042
Epoch 3 | Batch 730 | Loss: 0.3937
Epoch 3 | Batch 740 | Loss: 0.3599
Epoch 3 | Batch 750 | Loss: 0.4726
Epoch 3 | Batch 760 | Loss: 0.2765
Epoch 3 | Batch 770 | Loss: 0.3458
Epoch 3 | Batch 780 | Loss: 0.3472
Epoch 3 | Batch 790 | Loss: 0.4218
Epoch 3 | Batch 800 | Loss: 0.3005
Epoch 3 | Batch 810 | Loss: 0.3304
Epoch 3 | Batch 820 | Loss: 0.2147
Epoch 3 | Batch 830 | Loss: 0.2805
Epoch 3 | Batch 840 | Loss: 0.3881
Epoch 3 | Batch 850 | Loss: 0.2941
Epoch 3 | Batch 860 | Loss: 0.3635
Epoch 3 | Batch 870 | Loss: 0.4509
Epoch 3 | Batch 880 | Loss: 0.3127
Epoch 3 | Batch 890 | Loss: 0.2535
Epoch 3 | Batch 900 | Loss: 0.4080
Epoch 3 | Batch 910 | Loss: 0.4372
Epoch 3 | Batch 920 | Loss: 0.3324
Epoch 3 | Batch 930 | Loss: 0.5115
Epoch 3 | Batch 940 | Loss: 0.5464
Epoch 3 | Batch 950 | Loss: 0.4302
Epoch 3 | Batch 960 | Loss: 0.2873
Epoch 3 | Batch 970 | Loss: 0.3184
Epoch 3 | Batch 980 | Loss: 0.3185
Epoch 3 | Batch 990 | Loss: 0.4445
Epoch 3 | Batch 1000 | Loss: 0.4086
Epoch 3 | Batch 1010 | Loss: 0.2526
Epoch 3 | Batch 1020 | Loss: 0.2969
Epoch 3 | Batch 1030 | Loss: 0.3228
Epoch 3 | Batch 1040 | Loss: 0.4617
Epoch 3 | Batch 1050 | Loss: 0.3002
Epoch 3 | Batch 1060 | Loss: 0.3125
Epoch 3 | Batch 1070 | Loss: 0.3102
Epoch 3 | Batch 1080 | Loss: 0.3277
Epoch 3 | Batch 1090 | Loss: 0.3506
Epoch 3 | Batch 1100 | Loss: 0.2467
Epoch 3 | Batch 1110 | Loss: 0.3398
Epoch 3 | Batch 1120 | Loss: 0.5623
Epoch 3 | Batch 1130 | Loss: 0.2452
Epoch 3 | Batch 1140 | Loss: 0.2927
Epoch 3 | Batch 1150 | Loss: 0.4703
Epoch 3 | Batch 1160 | Loss: 0.3811
Epoch 3 | Batch 1170 | Loss: 0.3476
Epoch 3 | Batch 1180 | Loss: 0.3675
Epoch 3 | Batch 1190 | Loss: 0.4143
Epoch 3 | Batch 1200 | Loss: 0.2129
Epoch 3 | Batch 1210 | Loss: 0.4513
Epoch 3 | Batch 1220 | Loss: 0.3105
Epoch 3 | Batch 1230 | Loss: 0.3768
Epoch 3 | Batch 1240 | Loss: 0.2884
Epoch 3 | Batch 1250 | Loss: 0.2374
Epoch 3 | Batch 1260 | Loss: 0.5338
Epoch 3 | Batch 1270 | Loss: 0.3551
Epoch 3 | Batch 1280 | Loss: 0.3629
Epoch 3 | Batch 1290 | Loss: 0.2867
Epoch 3 | Batch 1300 | Loss: 0.2724
Epoch 3 | Batch 1310 | Loss: 0.3618
Epoch 3 | Batch 1320 | Loss: 0.3461
Epoch 3 | Batch 1330 | Loss: 0.3465
Epoch 3 | Batch 1340 | Loss: 0.3858
Epoch 3 | Batch 1350 | Loss: 0.2837
Epoch 3 | Batch 1360 | Loss: 0.2024
Epoch 3 | Batch 1370 | Loss: 0.2696
